city,long,lat
North Yelm,46.96,-122.6
Northport town,48.92,-117.78
Northwest Stanwood,48.26,-122.35
Oak Harbor city,48.3,-122.63
Oakesdale town,47.13,-117.25
Oakville city,46.84,-123.23
Ocean City,47.08,-124.16
Ocean Park,46.5,-124.04
Ocean Shores city,46.97,-124.15
Odessa town,47.33,-118.69
Okanogan city,48.37,-119.58
Olympia city,47.04,-122.9
Omak city,48.42,-119.52
Onalaska,46.58,-122.71
Orchards,45.69,-122.53
Orient,48.86,-118.21
Oroville city,48.94,-119.43
Orting city,47.1,-122.21
Oso,48.28,-121.92
Othello city,46.82,-119.17
Otis Orchards-East Farms,47.7,-117.09
Outlook,46.33,-120.09
Oyehut,47.02,-124.16
Pacific Beach,47.22,-124.2
Pacific city,47.26,-122.25
Packwood,46.61,-121.67
Palouse city,46.91,-117.08
Parker,46.5,-120.47
Parkland,47.14,-122.44
Parkwood,47.53,-122.6
Pasco city,46.25,-119.13
Pateros city,48.06,-119.9
Pe Ell town,46.57,-123.3
Peaceful Valley,48.95,-122.14
Picnic Point,47.87,-122.31
Pine Grove,48.65,-118.68
Point Roberts,48.99,-123.06
Pomeroy city,46.47,-117.6
Port Angeles city,48.12,-123.45
Port Angeles East,48.11,-123.37
Port Gamble Tribal Comunity,47.85,-122.56
Port Hadlock-Irondale,48.03,-122.79
Port Ludlow,47.91,-122.69
Port Orchard city,47.52,-122.66
Port Townsend city,48.12,-122.78
Porter,46.95,-123.27
Poulsbo city,47.74,-122.64
Prairie Heights,47.15,-122.1
Prairie Ridge,47.14,-122.14
Prescott city,46.3,-118.31
Prosser city,46.21,-119.77
Puget Island,46.17,-123.38
Pullman city,46.73,-117.16
Purdy,47.39,-122.61
Puyallup city,47.18,-122.29
Queets,47.53,-124.34
Qui-nai-elt Village,47.25,-124.19
Quilcene,47.84,-122.91
Quincy city,47.23,-119.85
Raft Island,47.33,-122.67
Rainier city,46.89,-122.69
Ravensdale,47.36,-121.97
Raymond city,46.68,-123.74
Reardan town,47.67,-117.88
Redmond city,47.68,-122.12
Renton city,47.48,-122.19
Republic city,48.65,-118.73
Richland city,46.29,-119.29
Ridgefield city,45.81,-122.71
Ritzville city,47.13,-118.38
River Road,48.07,-123.13
Riverbend,47.47,-121.75
Riverside town,48.5,-119.51
Riverton,47.49,-122.31
Rochester,46.83,-123.07
Rock Island city,47.37,-120.14
Rockford town,47.45,-117.13
Rockport,48.49,-121.61
Rocky Point,47.59,-122.67
Ronald,47.23,-121.03
Roosevelt,45.75,-120.22
Rosalia town,47.24,-117.38
Rosburg,46.31,-123.63
Rosedale,47.35,-122.64
Roslyn city,47.25,-121.1
Roy city,47,-122.54
Royal City city,46.9,-119.61
Ruston town,47.3,-122.51
Ryderwood,46.37,-123.04
Salmon Creek,45.71,-122.66
Sammamish city,47.6,-122.04
Santiago,47.3,-124.23
Satsop,47.02,-123.47
Seabeck,47.64,-122.82
SeaTac city,47.44,-122.3
Seattle city,47.62,-122.35
Sedro-Woolley city,48.51,-122.23
Sekiu,48.26,-124.3
Selah city,46.65,-120.54
Sequim city,48.07,-123.09
Shadow Lake,47.4,-122.08
Shelton city,47.22,-123.11
Shoreline city,47.76,-122.34
Silvana,48.2,-122.25
Silver Firs,47.86,-122.15
Silverdale,47.67,-122.68
Sisco Heights,48.12,-122.11
Skamokawa Valley,46.3,-123.42
Skokomish,47.33,-123.16
Skykomish town,47.71,-121.36
Snohomish city,47.93,-122.1
Snoqualmie city,47.53,-121.84
Snoqualmie Pass,47.4,-121.41
Soap Lake city,47.39,-119.49
South Bend city,46.67,-123.8
South Cle Elum town,47.19,-120.95
South Creek,47,-122.39
South Hill,47.12,-122.28
South Prairie town,47.14,-122.09
South Wenatchee,47.39,-120.28
Southworth,47.51,-122.53
Spanaway,47.1,-122.42
Spangle city,47.43,-117.38
Spokane city,47.67,-117.42
Spokane Valley city,47.66,-117.23
Sprague city,47.3,-117.98
Springdale town,48.06,-117.75
St. John town,47.09,-117.59
Stansberry Lake,47.38,-122.72
Stanwood city,48.24,-122.34
Starbuck town,46.52,-118.13
Startup,47.87,-121.75
Steilacoom town,47.17,-122.59
Steptoe,47.01,-117.35
Stevenson city,45.69,-121.89
Sudden Valley,48.72,-122.35
Sultan city,47.87,-121.8
Sumas city,49,-122.27
Summit,47.17,-122.36
Summit View,47.13,-122.35
Summitview,46.6,-120.65
Sumner city,47.22,-122.23
Sunday Lake,48.23,-122.27
Sunnyside city,46.31,-120.01
Sunnyslope,47.49,-120.34
Suquamish,47.72,-122.58
Swede Heaven,48.28,-121.71
Tacoma city,47.25,-122.46
Taholah,47.33,-124.27
Tampico,46.53,-120.87
Tanglewilde,47.05,-122.78
Tanner,47.48,-121.69
Tekoa city,47.23,-117.07
Tenino city,46.85,-122.86
Terrace Heights,46.6,-120.45
Thorp,47.07,-120.67
Three Lakes,47.94,-121.99
Tieton town,46.7,-120.76
Tokeland,46.71,-123.98
Toledo city,46.44,-122.85
Tonasket city,48.71,-119.44
Toppenish city,46.38,-120.31
Torboy,48.68,-118.67
Touchet,46.04,-118.67
Town and Country,47.73,-117.42
Tracyton,47.61,-122.65
Trout Lake,46,-121.53
Tukwila city,47.47,-122.27
Tumwater city,46.99,-122.92
Twin Lakes,48.26,-118.36
Twisp town,48.36,-120.12
Union,47.35,-123.1
Union Gap city,46.56,-120.49
Union Hill-Novelty Hill,47.68,-122.03
Uniontown town,46.54,-117.09
University Place city,47.21,-122.55
